ai_exposure_category,Metro,State,National
High,0.3769317753486619,0.35334684560476887,0.3707429107129247
Medium high,15.88706637646973,17.321244303952195,16.867567330642004
Medium low,34.45946767506049,34.94651471520472,33.21119332102444
Low,39.490594944250574,38.067224024174266,40.44437786917568
,100.0,100.0,100.0
