Occupation group code,Occupation group,Jobs,Occupations in group,Avg. study rating,median_study_rating,% high exposure,% medium-high exposure,% medium-low exposure,% low exposure
430000,Office and Administrative Support Occupations,369470.0,45,0.469997981962815,0.4864864864864865,1.1394700516956722,57.20897501826941,40.568923051939265,1.0826318780956505
130000,Business and Financial Operations Occupations,162580.0,24,0.5493558969399457,0.5656565656565657,0.0,56.86431295362283,43.13568704637717,0.0
150000,Computer and Mathematical Occupations,72170.0,18,0.5841534474949195,0.5952620967741935,0.0,55.89580157960371,44.10419842039629,0.0
190000,"Life, Physical, and Social Science Occupations",31000.0,32,0.47904021451145207,0.5046296296296295,0.3225806451612903,37.93548387096774,60.7741935483871,0.967741935483871
410000,Sales and Related Occupations,267270.0,18,0.5014349244759537,0.5235042735042735,0.0,34.4296030231601,65.5703969768399,0.0
170000,Architecture and Engineering Occupations,71180.0,30,0.419693909157948,0.43039405684754517,0.0,28.926664793481315,70.75021073335208,0.32312447316661985
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",28610.0,33,0.3649961070385325,0.3125,28.276826284515906,12.198531981824537,35.61691716183153,23.90772457182803
110000,Management Occupations,261860.0,33,0.4514309726030777,0.4545454545454545,0.0,11.361032612846559,88.60077904223631,0.03818834491713129
250000,Educational Instruction and Library Occupations,147230.0,51,0.42121679472681123,0.4146341463414634,0.0,9.047069211437886,84.33743123004822,6.61549955851389
230000,Legal Occupations,26760.0,6,0.4076155027767931,0.41048387096774197,0.0,6.464872944693573,91.74140508221225,1.7937219730941705
290000,Healthcare Practitioners and Technical Occupations,166720.0,57,0.29406850481985825,0.3,0.0,3.166986564299424,71.67706333973129,25.15595009596929
390000,Personal Care and Service Occupations,48410.0,23,0.21380038144858335,0.1999999999999999,0.0,1.1154720099153068,42.96632927081181,55.91819871927288
510000,Production Occupations,145650.0,73,0.07450418268239264,0.0641025641025641,0.0,0.0,0.4943357363542739,99.50566426364573
490000,"Installation, Maintenance, and Repair Occupations",153390.0,43,0.09811468733301754,0.0833333333333333,0.0,0.0,16.409153139057306,83.59084686094269
470000,Construction and Extraction Occupations,177020.0,43,0.04091558613524378,0.0208333333333333,0.0,0.0,0.0,100.0
450000,"Farming, Fishing, and Forestry Occupations",1700.0,6,0.11860249582289052,0.0747767857142857,0.0,0.0,3.5294117647058822,96.47058823529412
0,All Occupations,3289720.0,1,,,0.0,0.0,0.0,0.0
310000,Healthcare Support Occupations,59270.0,14,0.1311767610090742,0.13779661016949152,0.0,0.0,0.0,100.0
370000,Building and Grounds Cleaning and Maintenance Occupations,84910.0,8,0.11965574616764661,0.0598995695839311,0.0,0.0,4.33400070663055,95.66599929336945
350000,Food Preparation and Serving Related Occupations,306180.0,14,0.11956277232572185,0.0986590038314176,0.0,0.0,14.334705075445816,85.66529492455417
330000,Protective Service Occupations,72420.0,17,0.2505174362474049,0.2499999999999999,0.0,0.0,12.44131455399061,87.55868544600939
210000,Community and Social Service Occupations,23400.0,12,0.3756961766127194,0.36458333333333326,0.0,0.0,97.13675213675214,2.8632478632478633
530000,Transportation and Material Moving Occupations,290590.0,38,0.1382355177188655,0.13840996168582376,0.0,0.0,0.28906707044289204,99.7109329295571
