Occupation group code,Occupation group,Jobs,Occupations in group,Avg. study rating,median_study_rating,% high exposure,% medium-high exposure,% medium-low exposure,% low exposure
130000,Business and Financial Operations Occupations,596380.0,32,0.5364404573211042,0.5379899336046262,0.0,29.55498172306248,20.446695060196518,0.0
430000,Office and Administrative Support Occupations,979660.0,50,0.4849039447224834,0.4932432432432432,0.5624400302145642,28.334320070228447,19.041300042872017,0.6614539738276545
150000,Computer and Mathematical Occupations,392000.0,20,0.5848276698637974,0.5967741935483871,0.0,27.658163265306122,22.31122448979592,0.0
410000,Sales and Related Occupations,707080.0,20,0.5069829317223306,0.5247584541062802,0.0,19.191604910335464,30.341686937828815,0.0
170000,Architecture and Engineering Occupations,133720.0,33,0.4201681936649847,0.4333333333333333,0.0,19.151959317977866,29.681423870774754,0.456177086449297
190000,"Life, Physical, and Social Science Occupations",46120.0,36,0.4772655959028074,0.473232669869595,0.5637467476149176,17.69297484822203,30.07372072853426,1.2792714657415438
110000,Management Occupations,753960.0,35,0.45727229840064926,0.4605263157894737,0.0,7.255026791872248,42.27147328770757,0.013263303093002282
250000,Educational Instruction and Library Occupations,415510.0,62,0.418321594214095,0.4146341463414634,0.0,3.949363432889702,42.83410748237107,2.0312387186830643
230000,Legal Occupations,58390.0,8,0.4076155027767931,0.41048387096774197,0.0,3.6650111320431584,44.16852200719301,0.7364274704572701
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",84870.0,35,0.36921939401578346,0.358695652173913,11.11111111111111,2.45080711676682,23.82467302933899,10.474843878873571
290000,Healthcare Practitioners and Technical Occupations,460760.0,63,0.28766092853142167,0.3,0.0,1.5648059727406893,34.37581387273201,13.818473825852939
390000,Personal Care and Service Occupations,119800.0,26,0.22900652359328014,0.232051282051282,0.0,0.8597662771285476,20.22537562604341,27.829716193656097
510000,Production Occupations,396440.0,86,0.07260882260654578,0.0625,0.0,0.0,0.10342044193320553,47.807991120976695
490000,"Installation, Maintenance, and Repair Occupations",351370.0,44,0.10346332848989215,0.08166666666666665,0.0,0.0,8.370094202692318,41.434954606255516
470000,Construction and Extraction Occupations,324500.0,48,0.04303039988908705,0.02744360902255635,0.0,0.0,0.0,49.19568567026194
450000,"Farming, Fishing, and Forestry Occupations",3310.0,6,0.12982299498746863,0.078125,0.0,0.0,1.2084592145015105,46.22356495468278
0,All Occupations,4049800.0,1,,,0.0,0.0,0.0,0.0
310000,Healthcare Support Occupations,262830.0,18,0.12383525591078316,0.125,0.0,0.0,0.0,50.001902370353456
370000,Building and Grounds Cleaning and Maintenance Occupations,193740.0,8,0.1288129162550882,0.0609756097560975,0.0,0.0,1.7084752761432849,47.90956952616909
350000,Food Preparation and Serving Related Occupations,720440.0,17,0.11956277232572185,0.0986590038314176,0.0,0.0,7.421853311864972,42.16589861751152
330000,Protective Service Occupations,165460.0,20,0.2595093845416178,0.2559523809523808,0.0,0.0,6.877795237519642,42.85023570651517
210000,Community and Social Service Occupations,69120.0,17,0.37662210253864536,0.36458333333333326,0.0,0.0,44.429976851851855,1.3310185185185186
530000,Transportation and Material Moving Occupations,843460.0,37,0.15168189782340605,0.1423611111111111,0.0,0.0,2.531240367059493,47.12968012709553
