Occupation group code,Occupation group,Jobs,Occupations in group,Avg. study rating,median_study_rating,% high exposure,% medium-high exposure,% medium-low exposure,% low exposure
130000,Business and Financial Operations Occupations,414030.0,32,0.5364404573211042,0.5379899336046262,0.0,29.633118373064754,20.36325870106031,0.0
430000,Office and Administrative Support Occupations,452550.0,50,0.46944052232687716,0.485178727114211,0.9059772400839686,25.53088056568335,21.68821124737598,0.7247817920671749
150000,Computer and Mathematical Occupations,311920.0,20,0.5848276698637974,0.5967741935483871,0.0,23.733649653757375,26.25032059502437,0.0
410000,Sales and Related Occupations,350920.0,18,0.5047609914243367,0.5247668997668997,0.0,20.802462099623845,27.929442608001825,0.0
190000,"Life, Physical, and Social Science Occupations",76300.0,38,0.48559105533989044,0.5,0.235910878112713,20.0524246395806,25.80602883355177,0.4325032765399738
170000,Architecture and Engineering Occupations,104680.0,34,0.4177058835193867,0.43178294573643405,0.0,10.594191822697747,38.52693924340848,0.3916698509743982
110000,Management Occupations,445610.0,37,0.45280020678845023,0.4605263157894737,0.0,10.100760754920222,39.3685060927717,0.013464688853481743
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",94770.0,40,0.36507453598477524,0.33559782608695654,9.085153529597974,4.8855122929197,22.93974886567479,10.657381027751397
250000,Educational Instruction and Library Occupations,256840.0,52,0.42271006103206604,0.4146341463414634,0.0,2.5969475159632456,37.6576857187354,4.2789285158075065
290000,Healthcare Practitioners and Technical Occupations,240560.0,54,0.29323062991133203,0.29107830551989733,0.0,1.0142999667442634,32.59477884935151,15.48885932823412
230000,Legal Occupations,56060.0,7,0.45956300651517556,0.45,0.0,0.6243310738494471,47.342133428469495,0.0
390000,Personal Care and Service Occupations,103100.0,29,0.23037766961401535,0.2333333333333333,0.0,0.6013579049466538,19.117361784675072,29.728419010669256
510000,Production Occupations,159400.0,77,0.07490065540323892,0.06330128205128205,0.0,0.0,0.16311166875784192,47.74153074027603
490000,"Installation, Maintenance, and Repair Occupations",125640.0,40,0.10902990532485902,0.0952380952380952,0.0,0.0,7.871696911811525,41.602992677491244
470000,Construction and Extraction Occupations,168570.0,44,0.0382366052762661,0.025,0.0,0.0,0.0,49.397876253188585
450000,"Farming, Fishing, and Forestry Occupations",4160.0,7,0.12982299498746863,0.078125,0.0,0.0,0.9615384615384616,43.50961538461539
0,All Occupations,2373920.0,1,,,0.0,0.0,0.0,0.0
310000,Healthcare Support Occupations,330730.0,16,0.12707501842728267,0.135593220338983,0.0,0.0,0.0,49.95918120521271
370000,Building and Grounds Cleaning and Maintenance Occupations,125000.0,11,0.11965574616764661,0.0598995695839311,0.0,0.0,2.144,47.248000000000005
350000,Food Preparation and Serving Related Occupations,391220.0,17,0.11956277232572185,0.0986590038314176,0.0,0.0,6.190890036296713,42.82245283983436
330000,Protective Service Occupations,105250.0,22,0.2759233728273828,0.272883295194508,0.0,0.0,9.463182897862232,40.26603325415677
210000,Community and Social Service Occupations,96900.0,17,0.37662210253864536,0.36458333333333326,0.0,0.0,41.37254901960784,1.1661506707946336
530000,Transportation and Material Moving Occupations,306330.0,36,0.1625813752012176,0.15624999999999994,0.0,0.0,2.751934188620116,46.06143701237228
