NEM Code,soc_code
31-1120,31-1121.00
25-9045,25-9042.00
21-1018,21-1011.00
53-1047,53-1042.00
13-1020,13-1022.00
29-2010,29-2011.00
51-2028,51-2022.00
25-2052,25-2056.00
39-7010,39-7011.00
13-2020,13-2022.00
47-4090,47-4099.00
